,id,title,original_language,overview,release_date,adult,poster_path,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
0,804435,Vanquish,en,"Victoria is a young mother trying to put her dark past as a Russian drug courier behind her, but retired cop Damon forces Victoria to do his bidding by holding her daughter hostage. Now, Victoria must use guns, guts and a motorcycle to take out a series of violent gangsters—or she may never see her child again.",2021-04-16,False,AoWY1gkcNzabh229Icboa1Ff0BM.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,347183,Haikyuu!! The Movie: The End and the Beginning,ja,"Shouyou Hinata, after losing to Kitagawa Daiichi Junior High's setter Tobio Kageyama in his first official volleyball match, transfers to Karasuno High, intent on finally having a proper volleyball team and getting his revenge on Kageyama. Upon arrival at Karasuno, however, Hinata finds out Kageyama has also gone to Karasuno. Initially at odds with each other, the two form an oddball combination and fight together with the other members of the volleyball club. Karasuno reunites with a former rival school, Nekoma High, in a practice match and reignites their school rivalry.",2015-07-03,False,kWopdC6UbjcDGxCYwS2uIsoYl3b.jpg,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,59108,Tower Heist,en,"A luxury condo manager leads a staff of workers to seek payback on the Wall Street swindler who defrauded them. With only days until the billionaire gets away with the perfect crime, the unlikely crew of amateur thieves enlists the help of petty crook Slide to steal the $20 million they’re sure is hidden in the penthouse.",2011-11-02,False,1HcOyMODYZXnncMikfhYkw3x2ss.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2179,Tenacious D in The Pick of Destiny,en,"In Venice Beach, naive Midwesterner JB bonds with local slacker KG and they form the rock band Tenacious D. Setting out to become the world's greatest band is no easy feat, so they set out to steal what could be the answer to their prayers... a magical guitar pick housed in a rock-and-roll museum some 300 miles away.",2006-11-22,False,7iixTGu21JEWP8QclwJLqMt2RBH.jpg,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,113,"Spring, Summer, Fall, Winter... and Spring",ko,"An isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by.",2003-09-19,False,6SQQ5REuAz7k0FMQ9mSCT40T2LN.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,387810,Hot Neighbors,ko,"Unlike his expectations, Hyeong-min is always miserable because of his wife who who doesn't care about him. To recover a sex life with his wife, Hyeong-min tries every night but he's always coldly rejected and this is making him depressed. One day, he goes out for some air and meets Hye-jin. When their partners aren't at home, they spend time together at each others' house. However, soon, they get caught and they come to a decision after a long talk...",2016-01-28,False,9sbrwzKHMrwDqbjtwjzUGkwDS58.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6,9621,Elizabethtown,en,"Drew Baylor is fired after causing his shoe company to lose hundreds of millions of dollars. To make matters worse, he's also dumped by his girlfriend. On the verge of ending it all, Drew gets a new lease on life when he returns to his family's small Kentucky hometown after his father dies. Along the way, he meets a flight attendant with whom he falls in love.",2005-10-14,False,mOdlzAQxhMgiaazRzif1YtJzg9s.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7,1895,Star Wars: Episode III - Revenge of the Sith,en,The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.,2005-05-17,False,xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,14310,Infernal Affairs III,zh,"While Yeung Kam Wing is trying to remove all connections between the mob and him, his actions are being carefully observed by Lau Kin Ming, who bears a personal grudge against him.",2003-12-12,False,6Uo3UK5qgusrOtamSWBQNavQ99Q.jpg,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,11527,Excalibur,en,"A surreal adaptation of Sir Thomas Malory's ""Le Morte d'Arthur"", chronicling Arthur Pendragon's conception, his rise to the throne, the search by his Knights of the Round Table for the Holy Grail, and ultimately his death.",1981-04-10,False,cTWF6zkr5mUOnheowKODIijWYcN.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,11918,Superhero Movie,en,"The team behind Scary Movie takes on the comic book genre in this tale of Rick Riker, a nerdy teen imbued with superpowers by a radioactive dragonfly. And because every hero needs a nemesis, enter Lou Landers, aka the villainously goofy Hourglass.",2008-03-28,False,f3gFb4wLwNGQcpweamVhjNBdJ58.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,551,The Poseidon Adventure,en,"When their ocean liner capsizes, a group of passengers struggle to survive and escape.",1972-12-13,False,6RGiA5BfhelU9zoD0b1GAG4GWWf.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,11645,Ran,ja,"With Ran, legendary director Akira Kurosawa reimagines Shakespeare's King Lear as a singular historical epic set in sixteenth-century Japan. Majestic in scope, the film is Kurosawa's late-life masterpiece, a profound examination of the folly of war and the crumbling of one family under the weight of betrayal, greed, and the insatiable thirst for power.",1985-06-01,False,jQnUtWaHYfqnXPOIf77K7Ycqk4M.jpg,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
13,1044050,Finding Michael,en,"In 1999, Michael Matthews became the youngest Briton to summit Mount Everest. But three hours after he reached the top of the world, aged just 22, he disappeared into blinding snow and his body has never been found.",2023-02-21,False,2kQsTvmeNLacvVDlITX7HoYnLYm.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10837,DuckTales: The Movie - Treasure of the Lost Lamp,en,"With his nephews and niece, everyone's favorite rich uncle, Scrooge McDuck, treks from his mansion home in Duckburg in search of the long-lost loot of the thief Collie Baba. But finding the goods isn't quite what it's ""quacked"" up to be! Their thrilling adventure leads to comical chaos, magical mayhem, and a lesson about what is far more valuable than money, gold and jewels.",1990-08-03,False,wCvdRynGJQWaOi2qwQP5nDdFxjM.jpg,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15,74465,We Bought a Zoo,en,"Benjamin has lost his wife and, in a bid to start his life over, purchases a large house that has a zoo – welcome news for his daughter, but his son is not happy about it. The zoo is in need of renovation and Benjamin sets about the work with the head keeper and the rest of the staff, but, the zoo soon runs into financial trouble.",2011-12-08,False,dcOvIqdsojUdAtWt1nPT9xS76Su.jpg,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
16,726274,Irati,eu,"Western Pyrenees, year 778. When his land is threatened by the ruthless armies of the Frankish emperor, a Basque warlord asks for help from his ancestral gods.",2023-02-24,False,jVUpT8PIWU9mpUWQqEyYDqmFN2y.jpg,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
