,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genres,genres_single
0,False,/fI5RsaM0NSU6TqztRhA2pal5ezv.jpg,"[28, 80, 53]",385687,en,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",868.981,1E5baAaEse26fej7uHcjOgEE2t2.jpg,2023-05-17,Fast X,False,5.9,12,"['Action', 'Crime', 'Thriller']",['Action']
1,False,/69HgAYpbJ04w6lUUVainsYxLabb.jpg,"[14, 28, 12]",455476,en,Knights of the Zodiac,"When a headstrong street orphan, Seiya, in search of his abducted sister unwittingly taps into hidden powers, he discovers he might be the only person alive who can protect a reincarnated goddess, sent to watch over humanity. Can he let his past go and embrace his destiny to become a Knight of the Zodiac?",334.127,1nbFEdIFprRNSWcCM0RUjQqZifF.jpg,2023-04-27,Knights of the Zodiac,False,6.5,34,"['Fantasy', 'Action', 'Adventure']",['Fantasy']
2,False,/hJoMSAltRx5xvlAXvKyDdugjucJ.jpg,"[12, 10751, 14, 10749]",447277,en,The Little Mermaid,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",309.798,ym1dxyOk4jFcSl4Q2zmRrA5BEEN.jpg,2023-05-18,The Little Mermaid,False,5.7,6,"['Adventure', 'Family', 'Fantasy', 'Romance']",['Adventure']
3,False,/vnPTLSBk95XKdahOaMkTlAck5Rc.jpg,"[28, 18, 10752]",882569,en,Guy Ritchie's The Covenant,"After an ambush, Afghan interpreter Ahmed goes to Herculean lengths to save US Army Sergeant John Kinley's life. When Kinley learns that Ahmed and his family were not given safe passage to America as promised, he must repay his debt by returning to the war zone to retrieve them before the Taliban hunts them down.",252.812,aX0H63vho7rZ9Rm3I567Zf00Z1t.jpg,2023-04-19,Guy Ritchie's The Covenant,False,7.8,67,"['Action', 'Drama', 'War']",['Action']
4,False,/9xfDWXAUbFXQK585JvByT5pEAhe.jpg,"[16, 28, 12, 878]",569094,en,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Miles Morales — Brooklyn's full-time, friendly neighborhood Spider-Man — is catapulted across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must redefine what it means to be a hero so he can save the people he loves most.",119.826,zPoqAu4gxZRmcPzSLFJ9b0VciaL.jpg,2023-05-31,Spider-Man: Across the Spider-Verse,False,0.0,0,"['Animation', 'Action', 'Adventure', 'Science Fiction']",['Animation']
5,False,/igXrblWrU1uaC09VKyquHHSebr.jpg,"[28, 53]",717930,en,Kandahar,"After his mission is exposed, an undercover CIA operative stuck deep in hostile territory in Afghanistan must fight his way out, alongside his Afghan translator, to an extraction point in Kandahar, all whilst avoiding elite enemy forces and foreign spies tasked with hunting them down.",69.786,gVh7d9n9WtUS6VSEaRXpGSTyhHW.jpg,2023-05-25,Kandahar,False,0.0,0,"['Action', 'Thriller']",['Action']
6,False,/tbQ7bEg5qnk7zR1bsi4xMqnaIRu.jpg,"[80, 9648, 53]",536437,en,Hypnotic,A detective becomes entangled in a mystery involving his missing daughter and a secret government program while investigating a string of reality-bending crimes.,54.847,mv362kHXz4Yr33wtQhqfcJWFM8G.jpg,2023-05-11,Hypnotic,False,6.0,1,"['Crime', 'Mystery', 'Thriller']",['Crime']
7,False,/rfhrG37ikF5pOm9pJTbgfIlGK5g.jpg,"[10749, 18, 35]",758336,en,Love Again,"Mira Ray, dealing with the loss of her fiancé, sends a series of romantic texts to his old cell phone number… not realizing the number was reassigned to Rob Burns' new work phone. A journalist, Rob is captivated by the honesty in the beautifully confessional texts. When he’s assigned to write a profile of megastar Céline Dion, he enlists her help in figuring out how to meet Mira in person and win her heart.",54.415,usfDx1g1eN9eZ8kxfrbLRkKVjit.jpg,2023-05-04,Love Again,False,7.0,4,"['Romance', 'Drama', 'Comedy']",['Romance']
8,False,/gGZxCy9keK0D6TxbmS8GJj85Ut4.jpg,"[80, 35]",809787,en,Mafia Mamma,"A suburban American woman inherits her grandfather’s Mafia empire and, guided by the Firm’s trusted consigliere, defies everyone’s expectations, including her own, as the new head of the family business.",52.446,zi0Lrmtvhrz52VXUjwEKlXItF9q.jpg,2023-04-13,Mafia Mamma,False,7.2,36,"['Crime', 'Comedy']",['Crime']
9,False,/pS4oSxn9g0PAzkWD5zrSOuRIgT6.jpg,"[35, 12, 14]",798286,en,Beau Is Afraid,A paranoid man embarks on an epic odyssey to get home to his mother.,50.792,wgVkkjigF31r1nZV80uV0xNIoun.jpg,2023-04-14,Beau Is Afraid,False,7.3,196,"['Comedy', 'Adventure', 'Fantasy']",['Comedy']
10,False,/r1T00IkCwDc90nhCO2VFBV36PkI.jpg,"[27, 53]",890771,en,The Black Demon,"Oilman Paul Sturges' idyllic family vacation turns into a nightmare when they encounter a ferocious megalodon shark that will stop at nothing to protect its territory. Stranded and under constant attack, Paul and his family must somehow find a way to get his family back to shore alive before it strikes again in this epic battle between humans and nature.",45.668,tunkzmPqpxqK24MxqrrEf9mC53r.jpg,2023-04-26,The Black Demon,False,4.8,7,"['Horror', 'Thriller']",['Horror']
11,False,/1RGTel8NrdOb5LvefBdjE8yy2HP.jpg,"[28, 18, 10752, 36]",1047925,en,Come Out Fighting,"Set in WWII, a squad of U.S. African American soldiers are sent on a rescue mission behind enemy lines to locate their lost commanding officer and a downed fighter pilot.",27.557,pDZchncQsRj2QIX8K0lzvM9mXGa.jpg,2023-05-19,Come Out Fighting,False,0.0,0,"['Action', 'Drama', 'War', 'History']",['Action']
12,False,/mK0a3t62lM8ho3mmvBWf6NxdWvw.jpg,"[27, 9648]",532408,en,The Boogeyman,"Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it’s too late.",19.932,2ikRhOvFwvKlSBm3btJiQh5YtGL.jpg,2023-06-01,The Boogeyman,False,0.0,0,"['Horror', 'Mystery']",['Horror']
13,False,/nEeD1gAsobFaghvOlhov6dydtjo.jpg,"[53, 27]",943919,en,Follow Her,An aspiring actress responds to a mysterious classified ad and finds herself trapped in her new boss's twisted revenge fantasy.,19.048,v2ZT6m3eO5J7w37TAJ0VRlVrh3L.jpg,2023-05-11,Follow Her,False,2.0,1,"['Thriller', 'Horror']",['Thriller']
14,False,/3t5FfSD7z0pHG0L5NfhMmdNsqhj.jpg,"[35, 18]",555285,en,"Are You There God? It's Me, Margaret.","When her family moves from the city to the suburbs, 11-year-old Margaret navigates new friends, feelings, and the beginning of adolescence.",19.022,yb6UB4WC3znlwU0L4AqMnjR9G9S.jpg,2023-04-27,"Are You There God? It's Me, Margaret.",False,6.8,16,"['Comedy', 'Drama']",['Comedy']
